id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,spread pressure,111,15,5,77,507,ship,baseline,monotonic-signal
g002,fill risk,77,16,7,100,449,ship,edge,drag-penalty
g003,portfolio drift,64,54,31,95,428,ship,recovery,confidence-floor
g004,quote width,105,76,23,75,571,ship,negative,lane-boundary
g005,spread pressure,41,19,42,70,217,ship,baseline,monotonic-signal
g006,fill risk,100,63,32,29,420,ship,edge,drag-penalty
g007,portfolio drift,45,53,7,99,425,ship,recovery,confidence-floor
g008,quote width,109,15,38,52,385,ship,negative,lane-boundary
g009,spread pressure,57,69,13,33,349,ship,baseline,monotonic-signal
g010,fill risk,34,63,23,71,324,ship,edge,drag-penalty
g011,portfolio drift,70,28,30,95,396,ship,recovery,confidence-floor
g012,quote width,48,48,14,68,348,ship,negative,lane-boundary
g013,spread pressure,84,25,29,102,448,ship,baseline,monotonic-signal
g014,fill risk,106,16,37,38,352,ship,edge,drag-penalty
g015,portfolio drift,76,49,22,96,474,ship,recovery,confidence-floor
g016,quote width,109,33,37,44,407,ship,negative,lane-boundary
g017,spread pressure,85,28,25,22,305,ship,baseline,monotonic-signal
g018,fill risk,76,28,20,59,362,ship,edge,drag-penalty
g019,portfolio drift,31,65,19,39,263,ship,recovery,confidence-floor
g020,quote width,100,51,41,76,472,ship,negative,lane-boundary
g021,spread pressure,94,12,33,99,438,ship,baseline,monotonic-signal
g022,fill risk,95,30,30,94,473,ship,edge,drag-penalty
g023,portfolio drift,99,41,30,74,467,ship,recovery,confidence-floor
g024,quote width,104,14,32,69,414,ship,negative,lane-boundary
g025,spread pressure,66,19,34,28,224,ship,baseline,monotonic-signal
g026,fill risk,51,43,16,98,403,ship,edge,drag-penalty
g027,portfolio drift,91,58,8,51,475,ship,recovery,confidence-floor
g028,quote width,114,33,27,32,418,ship,negative,lane-boundary
g029,spread pressure,85,23,17,70,407,ship,baseline,monotonic-signal
g030,fill risk,30,20,34,94,250,ship,edge,drag-penalty
g031,portfolio drift,50,21,23,67,280,ship,recovery,confidence-floor
g032,quote width,64,59,40,101,432,ship,negative,lane-boundary
g033,spread pressure,30,11,8,37,170,ship,baseline,monotonic-signal
g034,fill risk,105,24,15,95,523,ship,edge,drag-penalty
g035,portfolio drift,58,68,41,43,314,ship,recovery,confidence-floor
g036,quote width,82,58,14,21,376,ship,negative,lane-boundary
g037,spread pressure,53,20,22,58,271,ship,baseline,monotonic-signal
g038,fill risk,86,74,7,38,468,ship,edge,drag-penalty
g039,portfolio drift,62,68,22,75,428,ship,recovery,confidence-floor
g040,quote width,98,33,10,98,536,ship,negative,lane-boundary
g041,spread pressure,75,53,5,93,507,ship,baseline,monotonic-signal
g042,fill risk,111,30,4,73,531,ship,edge,drag-penalty
g043,portfolio drift,89,21,26,68,393,ship,recovery,confidence-floor
g044,quote width,37,54,18,27,237,ship,negative,lane-boundary
g045,spread pressure,59,38,15,97,417,ship,baseline,monotonic-signal
g046,fill risk,117,33,15,50,487,ship,edge,drag-penalty
g047,portfolio drift,62,33,17,31,280,ship,recovery,confidence-floor
g048,quote width,38,70,19,69,354,ship,negative,lane-boundary
g049,spread pressure,117,56,43,93,563,ship,baseline,monotonic-signal
g050,fill risk,72,17,35,66,312,ship,edge,drag-penalty
g051,portfolio drift,53,35,12,100,405,ship,recovery,confidence-floor
g052,quote width,47,46,44,36,217,ship,negative,lane-boundary
g053,spread pressure,48,19,19,94,332,ship,baseline,monotonic-signal
g054,fill risk,52,24,8,42,272,ship,edge,drag-penalty
g055,portfolio drift,57,48,25,20,257,ship,recovery,confidence-floor
g056,quote width,107,63,35,57,491,ship,negative,lane-boundary
g057,spread pressure,92,38,42,37,342,ship,baseline,monotonic-signal
g058,fill risk,44,28,26,74,284,ship,edge,drag-penalty
g059,portfolio drift,67,25,41,97,363,ship,recovery,confidence-floor
g060,quote width,38,26,7,92,336,ship,negative,lane-boundary
g061,spread pressure,71,64,34,72,417,ship,baseline,monotonic-signal
g062,fill risk,91,16,7,67,425,ship,edge,drag-penalty
g063,portfolio drift,105,29,37,26,351,ship,recovery,confidence-floor
g064,quote width,71,73,32,96,487,ship,negative,lane-boundary
g065,spread pressure,58,63,31,49,336,ship,baseline,monotonic-signal
g066,fill risk,99,25,11,30,385,ship,edge,drag-penalty
g067,portfolio drift,35,9,45,68,169,ship,recovery,confidence-floor
g068,quote width,94,73,42,92,528,ship,negative,lane-boundary
g069,spread pressure,39,38,42,65,239,ship,baseline,monotonic-signal
g070,fill risk,103,58,44,99,535,ship,edge,drag-penalty
g071,portfolio drift,51,35,4,35,285,ship,recovery,confidence-floor
g072,quote width,116,26,28,93,530,ship,negative,lane-boundary
g073,spread pressure,64,59,20,41,352,ship,baseline,monotonic-signal
g074,fill risk,42,43,39,105,344,ship,edge,drag-penalty
g075,portfolio drift,78,38,29,56,364,ship,recovery,confidence-floor
g076,quote width,100,38,4,36,440,ship,negative,lane-boundary
g077,spread pressure,70,75,35,73,436,ship,baseline,monotonic-signal
g078,fill risk,103,61,10,96,603,ship,edge,drag-penalty
g079,portfolio drift,79,22,20,91,423,ship,recovery,confidence-floor
g080,quote width,70,40,27,71,378,ship,negative,lane-boundary
g081,spread pressure,113,51,11,66,551,ship,baseline,monotonic-signal
g082,fill risk,94,24,26,25,328,ship,edge,drag-penalty
g083,portfolio drift,88,29,34,95,444,ship,recovery,confidence-floor
g084,quote width,89,53,19,48,431,ship,negative,lane-boundary
g085,spread pressure,93,68,34,29,405,ship,baseline,monotonic-signal
g086,fill risk,98,43,22,67,470,ship,edge,drag-penalty
g087,portfolio drift,60,33,17,91,394,ship,recovery,confidence-floor
g088,quote width,45,30,16,64,291,ship,negative,lane-boundary
g089,spread pressure,85,31,38,98,437,ship,baseline,monotonic-signal
g090,fill risk,108,69,30,34,470,ship,edge,drag-penalty
g091,portfolio drift,79,21,27,92,409,ship,recovery,confidence-floor
g092,quote width,112,34,27,40,430,ship,negative,lane-boundary
g093,spread pressure,44,8,29,104,298,ship,baseline,monotonic-signal
g094,fill risk,58,68,31,55,358,ship,edge,drag-penalty
g095,portfolio drift,112,30,13,35,440,ship,recovery,confidence-floor
g096,quote width,99,14,5,72,459,ship,negative,lane-boundary
